Data_Tweet,Autor,Local,Tweet_Text,Retweeted,Favourited,Retweet Count,Favorite Count,In Reply to
2018-03-14 21:24:59,Livraria Cultura,,b'@kodalinxe OLa! Vc pode confirmar o numero de seu pedido?',False,False,0,0,kodalinxe
2018-03-14 21:22:48,Livraria Cultura,,b'@SamuSEPverdao Ola! Ja respondemos por la.',False,False,0,0,SamuSEPverdao
2018-03-14 20:45:17,Livraria Cultura,,b'@flaviaol Serao sempre muito bem vindas!',False,False,0,0,flaviaol
2018-03-14 20:22:14,Livraria Cultura,,b'@jozyanc Ola! Este item encontra-se esgotado em nossos estoque e nossos fornecedores e nao temos previsao de uma nova edicao.',False,False,0,0,jozyanc
2018-03-14 20:21:37,Livraria Cultura,,"b'A Livraria Cultura e a @cialetras  convidam p/ lancamento do livro A ultima pagina, de Cezar Motta.\nUm retrato mi... https://t.co/PNafsDrS2h'",False,False,1,9,
2018-03-14 19:57:57,Livraria Cultura,,b'@PlanetaLivrosBR Ansiosa ;-)',False,False,0,1,PlanetaLivrosBR
2018-03-14 15:13:07,Livraria Cultura,,"b'""Eu poderia viver recluso numa casca de noz e me considerar rei do espaco infinito."" A frase de William Shakespeare... https://t.co/jODgZPhX9u'",False,False,42,140,
2018-03-13 20:56:43,Livraria Cultura,,b'@MiiHolanda O produto foi enviado hoje.',False,False,0,1,MiiHolanda
2018-03-13 20:36:32,Livraria Cultura,,b'@SamuSEPverdao  Ola! Vc pode confirmar seu pedido e suas duvidas por dm? Ja estamos te seguindo.',False,False,0,0,SamuSEPverdao
2018-03-13 19:53:15,Livraria Cultura,,b'@ManowarWil Ola! Vc pode confirmar o numero de seu pedido por dm?',False,False,0,0,ManowarWil
2018-03-13 19:47:10,Livraria Cultura,,"b'@gigazzana Ola! VC pode confirmar o numero de seu pedido e o cpf em que a compra foi realizada por dm? Ja estamos te seguindo,.'",False,False,0,1,gigazzana
2018-03-13 19:35:26,Livraria Cultura,,b'@analuisadnb Ola! Vc pode confirmar o numero de seu pedido e o cpf em que a compra foi realizada por dm? Ja estamos te seguindo.',False,False,0,0,analuisadnb
2018-03-13 19:16:06,Livraria Cultura,,"b'Agora e real, esta chegando! \nA segunda aventura do Mundo Bruxo da @jk_rowling teve seu trailer liberado pela Warn... https://t.co/ZYHZ0Yreli'",False,False,1,8,
2018-03-13 18:34:27,Livraria Cultura,,b'Quem ama cinema nao pode perder isso: comparacao da cena gravada com o script. Aproveite para conferir os descontos... https://t.co/u2r1lltlb6',False,False,1,12,
2018-03-13 17:57:30,Livraria Cultura,,b'Na Livraria Cultura voce ja pode reservar o primeiro volume da trilogia de graphic novels inspiradas no classico De... https://t.co/F2o0P5Ntot',False,False,2,12,
2018-03-13 01:52:02,Livraria Cultura,,"b'""A historia e sobre voce e eu e a estrada""  On the Road e o mais importante livro do escritor norte-americano... https://t.co/48ev5cafD1'",False,False,6,32,
2018-03-12 22:03:29,Livraria Cultura,,b'@paulinhapompeu Ola! Vc pode encaminhar sua mensagem por dm? Ja estamos te seguindo.',False,False,0,0,paulinhapompeu
2018-03-12 22:02:53,Livraria Cultura,,"b'@talitacarbone Talita, encaminhei um e-mail com as informacoes sobre o seu pedido :)'",False,False,0,0,talitacarbone
2018-03-12 21:45:00,Livraria Cultura,,"b'Sessao de autografos com direto a pocket show para lancamento de ""A gente mora no agora"", por Paulo Miklos. Esperam... https://t.co/dtQK97bBA0'",False,False,0,3,
2018-03-12 21:40:03,Livraria Cultura,,b'@4n4esteves Ola! Ainda nao temos uma previsao.',False,False,0,1,4n4esteves
